Province,Total,Abroad_Population,NewBorn,Average_Housing_Area
北京市,19612368,58455,115882,30.83
天津市,12938693,17437,81871,29.77
河北省,71854210,19593,880194,34.58
山西省,35712101,5797,345782,28.93
内蒙古自治区,24706291,11690,204151,27.18
辽宁省,43746323,104776,264242,30.38
吉林省,27452815,282429,177072,27.24
黑龙江省,38313991,124205,248678,26.37
上海市,23019196,116597,128222,28.21
江苏省,78660941,142829,683985,40.2
浙江省,54426891,165926,443261,37.96
安徽省,59500468,25212,748259,36.14
福建省,36894217,368038,400476,36.09
江西省,44567797,11424,578832,37.01
山东省,95792719,99978,980428,36.35
河南省,94029939,36455,1043852,36.48
湖北省,57237727,27272,590805,40.13
湖南省,65700762,19773,795454,38.69
广东省,104320459,148537,1081126,29.14
广西壮族自治区,46023761,23960,712891,34.3
海南省,8671485,7933,120973,27.18
重庆市,28846170,8621,262561,40.84
四川省,80417528,28558,740904,39.73
贵州省,34748556,4696,475282,32.28
云南省,45966766,38700,556947,30.56
西藏自治区,3002165,363,45268,32.66
陕西省,37327379,11168,334718,33.78
甘肃省,25575263,3209,276977,27.91
青海省,5626723,1242,71664,25.46
宁夏回族自治区,6301350,1100,75277,28.78
新疆维吾尔自治区,21815815,39071,320400,28.56
